episode_reward_mean,policy_loss,value_loss,entropy,iteration,backend,run_name
50.5,-0.13235926628112793,4.99852180480957,2.060371160507202,1,rllib,rllib_20260314_162146
74.0,-0.01297542080283165,6.629169940948486,2.0371153354644775,2,rllib,rllib_20260314_162146
88.0,-0.07183793932199478,5.19312047958374,2.0061235427856445,3,rllib,rllib_20260314_162146
118.0,-0.06395194679498672,4.708240032196045,1.9849753379821777,4,rllib,rllib_20260314_162146
104.75,-0.13631793856620789,6.087619781494141,1.9700061082839966,5,rllib,rllib_20260314_162146
107.5,-0.1224353089928627,5.089564323425293,1.940353274345398,6,rllib,rllib_20260314_162146
98.5,-0.15791989862918854,6.437242031097412,1.9188202619552612,7,rllib,rllib_20260314_162146
120.5,-0.13101333379745483,5.0781331062316895,1.8754689693450928,8,rllib,rllib_20260314_162146
130.5,-0.06732246279716492,4.194970607757568,1.8424184322357178,9,rllib,rllib_20260314_162146
131.75,-0.0737118273973465,5.105593681335449,1.8396536111831665,10,rllib,rllib_20260314_162146
137.5,-0.06087462604045868,5.170956611633301,1.8151586055755615,11,rllib,rllib_20260314_162146
140.5,-0.09706081449985504,5.249178409576416,1.7969950437545776,12,rllib,rllib_20260314_162146
138.75,-0.20584920048713684,4.870516300201416,1.7980988025665283,13,rllib,rllib_20260314_162146
149.0,-0.1352749764919281,6.55085563659668,1.7745481729507446,14,rllib,rllib_20260314_162146
134.25,-0.07662078738212585,6.318865776062012,1.778709888458252,15,rllib,rllib_20260314_162146
150.25,-0.08287649601697922,5.558432579040527,1.6941492557525635,16,rllib,rllib_20260314_162146
164.75,-0.12991663813591003,5.785800933837891,1.6686073541641235,17,rllib,rllib_20260314_162146
160.25,-0.1361297070980072,6.391416549682617,1.6542493104934692,18,rllib,rllib_20260314_162146
165.25,-0.09368810057640076,5.547723770141602,1.6801674365997314,19,rllib,rllib_20260314_162146
153.25,-0.10344208776950836,5.6917924880981445,1.624006986618042,20,rllib,rllib_20260314_162146
164.75,-0.18272866308689117,5.99992561340332,1.6582412719726562,21,rllib,rllib_20260314_162146
158.75,-0.09445767849683762,5.619726181030273,1.6438835859298706,22,rllib,rllib_20260314_162146
199.75,-0.19340306520462036,6.30448055267334,1.5508604049682617,23,rllib,rllib_20260314_162146
172.25,-0.19172607362270355,6.1327056884765625,1.5764564275741577,24,rllib,rllib_20260314_162146
162.0,-0.1443958729505539,6.827956199645996,1.5837482213974,25,rllib,rllib_20260314_162146
184.75,-0.15059590339660645,6.845759868621826,1.5304975509643555,26,rllib,rllib_20260314_162146
